City/Town,State or union territory,Place,Latitude,Longitude,AVERAGE,Exceeding/Not exceeding
Morshi,Maharashtra,"Morshi, Maharashtra",21.3242,78.0138306,49.49999924,Exceeding
Motihari,Bihar,"Motihari, Bihar",26.64385,84.9040337,99.48000031,Exceeding
Motipur,Bihar,"Motipur, Bihar",26.25255,85.1608985,100.8399994,Exceeding
Mukerian,Punjab,"Mukerian, Punjab",31.95015,75.6174525,49.7,Exceeding
Muktsar,Punjab,"Muktsar, Punjab",30.47618,74.5121599,80.18000031,Exceeding
Muktsar,Punjab,"Muktsar, Punjab",30.47618,74.5121599,80.18000031,Exceeding
Mul,Maharashtra,"Mul, Maharashtra",20.06517,79.675246,42.67999954,Exceeding
Multai,Madhya Pradesh,"Multai, Madhya Pradesh",21.77518,78.2571256,45.11999969,Exceeding
Mundi,Madhya Pradesh,"Mundi, Madhya Pradesh",22.07718,76.4794435,52.05999985,Exceeding
Mungeli,Chhattisgarh,"Mungeli, Chhattisgarh",22.06854,81.6856808,69,Exceeding
Munger,Bihar,"Munger, Bihar",25.3708,86.4733903,88.66000214,Exceeding
Murliganj,Bihar,"Murliganj, Bihar",25.90102,86.9949372,80.11999969,Exceeding
Murshidabad,West Bengal,"Murshidabad, West Bengal",24.1759,88.2801785,65.94000092,Exceeding
Murtijapur,Maharashtra,"Murtijapur, Maharashtra",20.72327,77.369906,50.75999985,Exceeding
Musabani,Jharkhand,"Musabani, Jharkhand",22.50354,86.4541511,65.12000046,Exceeding
Muzaffarnagar,Uttar Pradesh,"Muzaffarnagar, Uttar Pradesh",29.47268,77.7085091,69.93999939,Exceeding
Nabha,Punjab,"Nabha, Punjab",30.37302,76.1469551,68.73999939,Exceeding
Nadbai,Rajasthan,"Nadbai, Rajasthan",27.2144,77.2031493,95.43999786,Exceeding
Nadiad,Gujarat,"Nadiad, Gujarat",22.69159,72.8633635,51.74000015,Exceeding
Nagar,Rajasthan,"Nagar, Rajasthan",27.4242,77.099613,98.97999878,Exceeding
Nagina,Uttar Pradesh,"Nagina, Uttar Pradesh",29.44264,78.4326638,50.78000031,Exceeding
Nagla,Uttarakhand,"Nagla, Uttarakhand",28.99815,79.5125662,52.15999985,Exceeding
Nahan,Himachal Pradesh,"Nahan, Himachal Pradesh",30.55993,77.295483,47,Exceeding
Naihati,West Bengal,"Naihati, West Bengal",22.88952,88.4219729,69.06000214,Exceeding
Naila Janjgir,Chhattisgarh,"Naila Janjgir, Chhattisgarh",22.01931,82.5699766,71.38000183,Exceeding
Nainpur,Madhya Pradesh,"Nainpur, Madhya Pradesh",22.42661,80.1095601,48.23999939,Exceeding
Najibabad,Uttar Pradesh,"Najibabad, Uttar Pradesh",29.61234,78.3441643,51.27999954,Exceeding
Nakodar,Punjab,"Nakodar, Punjab",31.12702,75.4817733,77.55999908,Exceeding
Nakur,Uttar Pradesh,"Nakur, Uttar Pradesh",29.91987,77.3065952,70.58000031,Exceeding
Nanded,Maharashtra,"Nanded, Maharashtra",19.13825,77.3209555,44.04000015,Exceeding
Nandgaon,Maharashtra,"Nandgaon, Maharashtra",20.30686,74.65459,43,Exceeding
Nandura,Maharashtra,"Nandura, Maharashtra",20.83073,76.4505243,51.89999924,Exceeding
Nangal,Punjab,"Nangal, Punjab",31.38322,76.3765753,42.77999954,Exceeding
Nangloi Jat,Delhi,"Nangloi Jat, Delhi",28.68204,77.0675607,122.1800003,Exceeding
Nanpara,Uttar Pradesh,"Nanpara, Uttar Pradesh",27.86747,81.4992884,76.41999969,Exceeding
Naraura,Uttar Pradesh,"Naraura, Uttar Pradesh",28.19678,78.3813785,98.21999969,Exceeding
Narkatiaganj,Bihar,"Narkatiaganj, Bihar",27.10635,84.4749925,81.17999878,Exceeding
Narkhed,Maharashtra,"Narkhed, Maharashtra",21.46915,78.5291706,48.38000031,Exceeding
Narnaul,Haryana,"Narnaul, Haryana",28.06876,76.106789,73.91999969,Exceeding
Narsinghgarh,Madhya Pradesh,"Narsinghgarh, Madhya Pradesh",23.71486,77.0881034,49.64000015,Exceeding
Narsinghgarh,Madhya Pradesh,"Narsinghgarh, Madhya Pradesh",23.71486,77.0881034,49.64000015,Exceeding
Narwana,Haryana,"Narwana, Haryana",29.59599,76.1149662,82.45999908,Exceeding
Nasirabad,Rajasthan,"Nasirabad, Rajasthan",26.2984,74.7354242,55.33999939,Exceeding
Nathdwara,Rajasthan,"Nathdwara, Rajasthan",24.93116,73.8193405,50.30000076,Exceeding
Naugachhia,Bihar,"Naugachhia, Bihar",25.38734,87.0979867,81.3,Exceeding
Naugawan Sadat,Uttar Pradesh,"Naugawan Sadat, Uttar Pradesh",29.00411,78.4041297,63.57999954,Exceeding
Naura,Punjab,"Naura, Punjab",31.19205,76.0493444,65.86000061,Exceeding
Nautanwa,Uttar Pradesh,"Nautanwa, Uttar Pradesh",27.42417,83.4269996,73.81999969,Exceeding
Nawabganj,Uttar Pradesh,"Nawabganj, Uttar Pradesh",26.9268,81.1833809,108.4400009,Exceeding
Nawada,Bihar,"Nawada, Bihar",24.88669,85.5434572,82.06000061,Exceeding
Nawanshahr,Punjab,"Nawanshahr, Punjab",31.12556,76.118642,64.06000061,Exceeding
Nawapur,Maharashtra,"Nawapur, Maharashtra",21.16165,73.7946403,42.23999939,Exceeding
"Naya Nangal, Punjab",Punjab,"Naya Nangal, Punjab",31.3866405,76.3550457,43.91999969,Exceeding
